transaction_id,client_id,date,amount,category,mcc,merchant,is_international
TXN653306,C100,2024-08-31,8339.84,forex,7932,Merchant_55,True
TXN804314,C100,2024-10-03,35676.15,utilities,7118,Merchant_113,False
TXN454508,C100,2024-09-21,6138.11,shopping,1344,Merchant_151,False
TXN842225,C100,2024-10-10,29463.16,utilities,1964,Merchant_59,True
TXN349565,C100,2024-02-04,42995.81,groceries,5562,Merchant_172,False
TXN698782,C100,2024-09-05,27007.77,utilities,8744,Merchant_63,False
TXN551989,C100,2024-08-30,9601.45,healthcare,6804,Merchant_109,False
TXN785197,C100,2024-07-29,43205.45,shopping,2612,Merchant_16,False
TXN300896,C100,2024-07-25,40049.57,fuel,4116,Merchant_138,False
TXN361941,C100,2024-08-17,21151.89,dining,2235,Merchant_114,False
TXN976638,C100,2024-10-08,2624.36,travel,1241,Merchant_24,False
TXN520521,C100,2024-05-01,20380.06,dining,1960,Merchant_43,False
TXN922157,C100,2024-07-13,49266.91,groceries,8454,Merchant_74,False
TXN610311,C100,2024-08-04,33127.38,forex,3536,Merchant_49,True
TXN668532,C100,2024-05-31,48438.6,utilities,1998,Merchant_192,False
TXN994141,C100,2024-06-09,2602.1,groceries,9701,Merchant_41,False
TXN294851,C100,2024-01-30,4097.56,forex,2122,Merchant_153,True
TXN697347,C100,2024-02-04,20248.4,utilities,5033,Merchant_149,False
TXN712024,C100,2024-10-31,31007.14,groceries,9565,Merchant_81,False
TXN378517,C100,2024-05-13,33519.33,utilities,7484,Merchant_34,False
TXN176066,C100,2024-12-09,22915.51,entertainment,1152,Merchant_118,False
TXN323508,C100,2024-11-14,49805.21,emi,9288,Merchant_68,False
TXN487477,C100,2024-03-08,44055.12,fuel,5669,Merchant_41,False
TXN741390,C100,2024-08-12,35206.64,forex,9666,Merchant_3,True
TXN795613,C100,2024-12-07,15039.0,forex,2697,Merchant_35,True
TXN262998,C100,2024-05-15,44496.66,travel,5462,Merchant_73,False
TXN765046,C100,2024-11-05,35908.85,utilities,5325,Merchant_130,False
TXN196781,C100,2024-09-07,45276.29,entertainment,7939,Merchant_71,False
TXN374680,C100,2024-01-23,16744.47,groceries,3647,Merchant_190,False
TXN688153,C100,2024-08-14,35312.81,forex,1158,Merchant_29,True
TXN710805,C100,2024-02-08,27324.96,dining,3426,Merchant_111,False
TXN934794,C100,2024-03-06,15482.09,groceries,1653,Merchant_92,False
TXN687080,C100,2024-04-17,33379.98,utilities,7658,Merchant_159,False
TXN950155,C100,2024-03-20,43243.82,utilities,3900,Merchant_106,False
TXN531712,C100,2024-01-13,36854.57,dining,5065,Merchant_69,False
TXN593554,C100,2024-03-22,19188.83,travel,4644,Merchant_52,True
TXN338651,C100,2024-08-23,15329.02,fuel,4652,Merchant_7,False
TXN172792,C100,2024-12-03,19983.45,utilities,5573,Merchant_90,False
TXN984642,C100,2024-11-24,20043.95,forex,9785,Merchant_85,True
TXN708792,C100,2024-01-15,43864.22,travel,5349,Merchant_10,False
TXN428914,C100,2024-02-25,21784.73,emi,8149,Merchant_156,False
TXN367095,C100,2024-09-18,19321.25,travel,1727,Merchant_182,False
TXN820221,C100,2024-08-11,26044.03,groceries,4228,Merchant_94,False
TXN753425,C100,2024-08-08,47448.84,travel,6143,Merchant_170,False
TXN442027,C100,2024-03-04,25405.41,entertainment,7592,Merchant_179,False
TXN540869,C100,2024-05-31,6451.66,forex,7211,Merchant_174,True
TXN974224,C100,2024-03-30,28498.35,emi,1006,Merchant_78,False
TXN786508,C100,2024-05-26,21551.42,utilities,6279,Merchant_120,False
TXN932291,C100,2024-08-14,33813.8,shopping,3780,Merchant_169,False
TXN451470,C100,2024-02-13,25821.06,entertainment,2530,Merchant_193,False
TXN125611,C100,2024-04-30,11309.57,entertainment,1757,Merchant_63,False
TXN534572,C100,2024-08-31,42501.91,emi,4185,Merchant_184,False
TXN787926,C100,2024-12-22,24769.42,healthcare,1090,Merchant_193,False
TXN829716,C100,2024-02-24,11020.17,healthcare,9486,Merchant_119,False
TXN989545,C100,2024-01-26,12534.99,forex,2988,Merchant_117,True
TXN724377,C100,2024-03-09,33412.13,shopping,6198,Merchant_194,False
TXN547470,C100,2024-08-14,40768.82,emi,9976,Merchant_115,False
TXN980660,C100,2024-03-22,22558.48,shopping,5543,Merchant_197,False
TXN181247,C100,2024-09-23,31374.75,shopping,5681,Merchant_61,False
TXN245095,C100,2024-05-19,16053.51,fuel,3471,Merchant_60,False
TXN527398,C100,2024-07-15,35350.32,dining,6421,Merchant_139,False
TXN508396,C100,2024-08-26,3207.06,healthcare,1320,Merchant_196,False
TXN413118,C100,2024-10-21,23901.29,healthcare,7389,Merchant_108,False
TXN331251,C100,2024-10-02,40013.42,forex,8999,Merchant_57,True
TXN801364,C100,2024-05-19,24333.54,healthcare,7624,Merchant_186,False
TXN660069,C100,2024-03-25,45985.13,shopping,1441,Merchant_101,False
TXN549433,C100,2024-10-30,33183.69,emi,3223,Merchant_119,False
TXN576786,C100,2024-04-03,13081.8,groceries,6355,Merchant_87,False
TXN364525,C100,2024-07-13,37625.29,entertainment,2341,Merchant_121,False
TXN466960,C100,2024-01-10,2699.07,forex,4673,Merchant_167,True
TXN309044,C100,2024-02-05,37736.24,groceries,1333,Merchant_160,False
TXN691364,C100,2024-03-19,6398.43,utilities,4571,Merchant_120,False
TXN736745,C100,2024-12-24,38368.22,entertainment,2876,Merchant_200,False
TXN427110,C100,2024-03-24,5494.13,entertainment,7149,Merchant_102,True
TXN354646,C100,2024-04-11,29645.68,travel,2669,Merchant_179,False
TXN693423,C100,2024-06-03,40295.85,emi,1672,Merchant_89,False
TXN778998,C100,2024-09-29,33109.91,healthcare,6590,Merchant_4,False
TXN766459,C100,2024-08-03,5366.39,shopping,8532,Merchant_182,False
TXN782054,C100,2024-03-19,8889.23,healthcare,5425,Merchant_158,False
TXN721254,C100,2024-10-02,23297.2,shopping,5397,Merchant_83,False
TXN886931,C100,2024-05-05,14018.52,travel,8613,Merchant_146,False
TXN440802,C100,2024-11-08,16886.19,healthcare,3979,Merchant_125,False
TXN725113,C100,2024-04-18,39911.83,fuel,5526,Merchant_143,False
TXN189771,C100,2024-01-06,47408.32,forex,4954,Merchant_185,True
TXN599219,C100,2024-07-27,27803.29,shopping,9041,Merchant_115,False
TXN355123,C100,2024-01-09,14782.36,travel,6016,Merchant_170,False
TXN546173,C100,2024-10-24,23715.7,fuel,6419,Merchant_91,False
TXN226516,C100,2024-12-25,13618.73,shopping,4155,Merchant_81,False
TXN823688,C100,2024-03-02,47548.79,forex,4033,Merchant_50,True
TXN897135,C100,2024-04-20,13897.33,shopping,9595,Merchant_153,False
TXN478411,C100,2024-05-24,41648.16,travel,3939,Merchant_78,False
TXN147726,C100,2024-01-08,6416.49,forex,1893,Merchant_142,True
TXN207570,C100,2024-05-29,31929.7,dining,1200,Merchant_147,False
TXN153872,C100,2024-05-25,23987.84,shopping,5136,Merchant_123,False
TXN760021,C100,2024-02-28,20095.3,travel,1878,Merchant_39,False
TXN360247,C100,2024-03-17,47461.37,emi,2940,Merchant_143,False
TXN913373,C100,2024-08-01,29846.73,emi,9561,Merchant_98,False
TXN549660,C100,2024-08-18,14937.92,shopping,6003,Merchant_146,False
TXN899787,C100,2024-11-13,30520.58,groceries,4404,Merchant_161,False
TXN282256,C100,2024-04-18,33055.36,entertainment,2229,Merchant_41,False
TXN405407,C100,2024-01-02,22580.13,healthcare,1534,Merchant_60,False
TXN820775,C100,2024-05-27,35179.08,entertainment,4824,Merchant_68,False
TXN545790,C100,2024-11-16,33093.03,emi,2880,Merchant_140,False
TXN174878,C100,2024-04-25,45429.73,dining,1977,Merchant_43,False
TXN402630,C100,2024-06-06,37472.99,emi,8195,Merchant_32,False
TXN624783,C100,2024-08-27,35016.71,entertainment,9847,Merchant_127,False
TXN870214,C100,2024-08-12,29942.03,travel,6280,Merchant_155,False
TXN976566,C100,2024-05-08,4657.21,groceries,1339,Merchant_196,False
TXN283700,C100,2024-12-10,28854.72,entertainment,8708,Merchant_133,False
TXN713762,C100,2024-11-29,45812.03,shopping,8141,Merchant_163,False
TXN436653,C100,2024-09-08,23553.52,travel,2713,Merchant_42,False
TXN519904,C100,2024-06-17,34714.32,healthcare,1601,Merchant_117,False
TXN910075,C100,2024-02-15,12694.7,fuel,7622,Merchant_132,False
TXN156837,C100,2024-01-01,23152.62,forex,4073,Merchant_133,True
TXN896907,C100,2024-07-04,37846.51,emi,1845,Merchant_53,False
TXN402020,C100,2024-05-16,6637.56,forex,8178,Merchant_179,True
TXN938141,C100,2024-09-05,1540.59,travel,4920,Merchant_182,False
TXN197736,C100,2024-03-22,27586.87,entertainment,4681,Merchant_30,False
TXN851413,C100,2024-08-24,32420.71,travel,5781,Merchant_131,False
TXN595158,C100,2024-12-27,20832.97,entertainment,4993,Merchant_117,False
TXN632929,C100,2024-10-09,19240.94,dining,3236,Merchant_18,False
TXN380150,C100,2024-05-21,17059.77,healthcare,1042,Merchant_73,False
TXN255813,C100,2024-06-01,29038.18,emi,8316,Merchant_138,False
TXN495533,C100,2024-09-04,16688.75,fuel,8460,Merchant_83,False
TXN913217,C100,2024-04-06,28632.7,utilities,7730,Merchant_12,False
TXN504832,C100,2024-06-11,35290.87,shopping,3492,Merchant_127,False
TXN205239,C100,2024-01-19,25164.33,dining,8213,Merchant_26,False
TXN786587,C100,2024-09-26,865.85,shopping,3529,Merchant_20,False
TXN781403,C100,2024-08-28,16994.21,entertainment,2315,Merchant_85,False
TXN432043,C100,2024-12-11,19062.47,forex,8994,Merchant_139,True
TXN401338,C100,2024-01-19,3514.2,emi,4727,Merchant_192,False
TXN838083,C100,2024-02-16,48919.05,healthcare,2646,Merchant_114,False
TXN934816,C100,2024-03-26,45180.86,entertainment,1919,Merchant_76,True
TXN532067,C100,2024-07-02,21591.27,fuel,3950,Merchant_44,False
TXN816318,C100,2024-03-30,30513.64,travel,4945,Merchant_128,False
TXN581894,C100,2024-10-25,11686.2,dining,5183,Merchant_171,False
TXN265649,C100,2024-01-05,45070.35,shopping,2210,Merchant_114,False
TXN823846,C100,2024-06-25,15027.8,emi,5097,Merchant_117,False
TXN211834,C100,2024-06-03,49968.74,utilities,4886,Merchant_98,False
TXN409571,C100,2024-10-19,28783.12,fuel,1359,Merchant_169,False
TXN916118,C100,2024-07-21,504.09,entertainment,1803,Merchant_156,False
TXN940886,C100,2024-09-11,38809.47,entertainment,6772,Merchant_57,False
TXN855948,C100,2024-11-21,31082.47,utilities,3240,Merchant_161,False
TXN707727,C100,2024-02-19,15515.75,groceries,6977,Merchant_188,False
TXN535686,C100,2024-03-08,45490.43,travel,3877,Merchant_52,False
TXN483629,C100,2024-03-08,43835.38,forex,9697,Merchant_129,True
TXN605254,C100,2024-05-19,12922.81,dining,5835,Merchant_192,False
TXN890785,C100,2024-06-22,23469.74,travel,4696,Merchant_174,False
TXN483542,C100,2024-12-11,48366.76,healthcare,2479,Merchant_102,False
TXN805511,C100,2024-01-08,26874.96,entertainment,5295,Merchant_150,False
TXN126240,C100,2024-07-14,5506.47,fuel,6374,Merchant_157,False
TXN835132,C100,2024-04-23,31806.66,travel,5951,Merchant_167,False
TXN419149,C100,2024-07-28,7074.87,travel,9071,Merchant_30,False
TXN575679,C100,2024-02-19,44374.24,utilities,7078,Merchant_172,False
TXN878325,C100,2024-12-22,21014.42,forex,3531,Merchant_107,True
TXN393328,C100,2024-12-01,41701.28,travel,1536,Merchant_177,False
TXN997004,C100,2024-07-08,22224.82,utilities,6942,Merchant_26,False
TXN476096,C100,2024-12-17,27268.85,fuel,1992,Merchant_102,False
TXN770556,C101,2024-03-03,4674.5,shopping,1349,Merchant_13,False
TXN315173,C101,2024-06-19,49442.16,utilities,2124,Merchant_196,False
TXN344316,C101,2024-10-10,29360.52,utilities,6383,Merchant_199,False
TXN251716,C101,2024-03-16,241.49,emi,3129,Merchant_139,False
TXN238205,C101,2024-05-08,5585.32,dining,1243,Merchant_92,False
TXN154944,C101,2024-05-01,16256.2,emi,3076,Merchant_190,False
TXN166645,C101,2024-08-03,5771.1,forex,8802,Merchant_115,True
TXN573962,C101,2024-07-04,29723.93,forex,9254,Merchant_57,True
TXN790909,C101,2024-11-10,36389.43,groceries,9543,Merchant_78,False
TXN521126,C101,2024-08-22,3135.19,groceries,7984,Merchant_176,False
TXN184714,C101,2024-02-25,35648.83,shopping,6277,Merchant_156,False
TXN713799,C101,2024-03-16,6396.96,travel,9984,Merchant_183,False
TXN575755,C101,2024-06-15,49731.93,healthcare,9282,Merchant_155,False
TXN786516,C101,2024-08-08,39675.5,travel,4522,Merchant_111,False
TXN518098,C101,2024-08-19,20749.3,utilities,7815,Merchant_187,False
TXN492483,C101,2024-02-18,21395.52,fuel,3500,Merchant_176,False
TXN552855,C101,2024-08-30,4652.12,travel,2582,Merchant_191,False
TXN688866,C101,2024-07-09,27862.9,dining,6400,Merchant_172,False
TXN886730,C101,2024-03-03,17744.54,healthcare,7929,Merchant_185,False
TXN705991,C101,2024-01-27,30060.46,entertainment,9313,Merchant_55,False
TXN986438,C101,2024-03-20,11289.82,shopping,7022,Merchant_30,False
TXN688215,C101,2024-05-22,11385.34,emi,1430,Merchant_156,False
TXN899444,C101,2024-12-02,1544.76,entertainment,6062,Merchant_87,False
TXN789275,C101,2024-06-28,9152.14,groceries,7566,Merchant_18,False
TXN494468,C101,2024-03-13,4678.71,groceries,7878,Merchant_117,False
TXN914571,C101,2024-06-23,18565.65,dining,2391,Merchant_14,False
TXN185544,C101,2024-03-20,37746.35,dining,5458,Merchant_114,True
TXN386436,C101,2024-12-04,24334.52,healthcare,4531,Merchant_194,False
TXN811163,C101,2024-09-19,17324.13,travel,8972,Merchant_135,False
TXN728437,C101,2024-12-07,2366.33,entertainment,1897,Merchant_2,False
TXN901280,C101,2024-04-14,47271.67,entertainment,5186,Merchant_75,False
TXN284229,C101,2024-06-16,485.72,travel,3116,Merchant_98,False
TXN945362,C101,2024-09-29,25063.09,utilities,6802,Merchant_19,False
TXN181644,C101,2024-07-22,21867.36,groceries,6129,Merchant_148,False
TXN403578,C101,2024-08-07,20280.7,emi,2887,Merchant_104,False
TXN582446,C101,2024-01-11,8676.47,fuel,6928,Merchant_23,False
TXN649414,C101,2024-08-11,12241.49,travel,2288,Merchant_102,False
TXN180089,C101,2024-06-07,11156.45,fuel,9363,Merchant_163,False
TXN913934,C101,2024-02-28,25546.61,forex,6724,Merchant_90,True
TXN306854,C101,2024-11-26,11889.82,dining,3842,Merchant_155,False
TXN618119,C101,2024-03-19,8939.59,travel,8601,Merchant_194,False
TXN691912,C101,2024-10-15,22500.37,emi,6295,Merchant_161,False
TXN762055,C101,2024-06-10,22044.16,dining,5961,Merchant_71,False
TXN584172,C101,2024-10-29,17661.92,groceries,8404,Merchant_10,False
TXN996840,C101,2024-01-30,41601.66,fuel,2479,Merchant_158,False
TXN708519,C101,2024-10-31,19285.68,forex,1672,Merchant_116,True
TXN258189,C101,2024-10-19,16144.19,utilities,2013,Merchant_116,False
TXN777513,C101,2024-02-22,49121.04,fuel,3827,Merchant_11,False
TXN739427,C101,2024-05-06,49550.2,shopping,3600,Merchant_94,False
TXN811875,C101,2024-07-09,19432.09,entertainment,1857,Merchant_162,False
TXN811332,C101,2024-11-27,3389.0,fuel,7333,Merchant_73,False
TXN711046,C101,2024-05-09,43676.66,emi,3317,Merchant_90,False
TXN188834,C101,2024-06-07,6534.69,healthcare,6072,Merchant_144,False
TXN969226,C101,2024-07-11,40677.92,fuel,9624,Merchant_24,False
TXN423869,C101,2024-11-26,25473.58,healthcare,3953,Merchant_55,True
TXN262471,C101,2024-06-23,9681.06,shopping,2264,Merchant_76,False
TXN975686,C101,2024-02-21,38566.65,forex,9626,Merchant_10,True
TXN726258,C101,2024-12-04,43832.0,fuel,7172,Merchant_40,False
TXN948343,C101,2024-03-24,41584.12,dining,3712,Merchant_185,False
TXN349068,C101,2024-08-12,20601.84,groceries,8277,Merchant_157,False
TXN947903,C101,2024-05-25,11776.75,shopping,8684,Merchant_50,False
TXN395459,C101,2024-07-07,49223.55,emi,7256,Merchant_129,False
TXN940181,C101,2024-09-27,48316.78,healthcare,3267,Merchant_65,False
TXN207573,C101,2024-01-27,43718.44,shopping,9452,Merchant_32,False
TXN638289,C101,2024-05-25,38179.53,travel,3414,Merchant_112,False
TXN127965,C101,2024-02-16,40853.49,utilities,7797,Merchant_14,False
TXN504924,C101,2024-07-21,18760.68,forex,2337,Merchant_96,True
TXN849421,C101,2024-04-24,16002.38,groceries,6493,Merchant_38,False
TXN829884,C101,2024-03-11,14415.28,groceries,3273,Merchant_195,False
TXN183074,C101,2024-12-27,22485.21,shopping,1311,Merchant_66,True
TXN653408,C101,2024-04-20,27485.33,dining,7934,Merchant_29,False
TXN540218,C101,2024-05-27,15127.44,utilities,8489,Merchant_17,True
TXN640410,C101,2024-02-26,29877.28,shopping,4963,Merchant_184,True
TXN352249,C101,2024-03-14,21519.02,entertainment,7825,Merchant_48,False
TXN651613,C101,2024-12-06,26221.88,travel,9914,Merchant_130,False
TXN592972,C101,2024-09-16,1114.68,forex,1713,Merchant_163,True
TXN926823,C101,2024-07-17,12757.15,fuel,2106,Merchant_89,True
TXN448671,C101,2024-05-03,38597.92,travel,3185,Merchant_12,False
TXN774020,C101,2024-06-29,16993.51,forex,3868,Merchant_200,True
TXN291132,C101,2024-12-16,49042.88,shopping,3209,Merchant_17,False
TXN309159,C101,2024-08-22,14742.78,groceries,1686,Merchant_81,True
TXN955015,C101,2024-06-07,19971.38,forex,9897,Merchant_122,True
TXN474314,C101,2024-05-09,37689.22,groceries,1783,Merchant_168,False
TXN519453,C101,2024-06-18,6311.3,entertainment,8204,Merchant_99,False
TXN936020,C101,2024-06-22,24860.54,dining,9507,Merchant_69,False
TXN962287,C101,2024-02-12,4038.46,healthcare,3956,Merchant_140,False
TXN410000,C101,2024-05-30,5219.64,fuel,6021,Merchant_115,False
TXN568849,C101,2024-11-04,8415.57,healthcare,1693,Merchant_187,False
TXN929924,C101,2024-06-29,49907.71,emi,1939,Merchant_20,False
TXN812413,C101,2024-12-09,18229.23,healthcare,3621,Merchant_8,False
TXN232361,C101,2024-03-14,33936.63,emi,2101,Merchant_61,False
TXN133958,C101,2024-11-26,18171.31,fuel,3513,Merchant_174,False
TXN701800,C101,2024-08-18,18663.47,fuel,3255,Merchant_136,False
TXN218959,C101,2024-07-06,15787.83,healthcare,1424,Merchant_189,False
TXN223481,C101,2024-04-05,25935.49,shopping,5288,Merchant_199,False
TXN827691,C101,2024-05-13,10807.06,shopping,9047,Merchant_52,False
TXN848022,C101,2024-03-03,42656.03,dining,8292,Merchant_23,False
TXN676713,C101,2024-12-15,33425.21,fuel,9882,Merchant_75,False
TXN768676,C101,2024-06-02,35619.27,dining,3852,Merchant_93,False
TXN245622,C101,2024-09-17,6155.99,utilities,4878,Merchant_127,False
TXN942700,C101,2024-01-14,27745.67,fuel,3126,Merchant_157,False
TXN853789,C101,2024-02-14,15533.61,travel,8842,Merchant_135,False
TXN432427,C101,2024-07-29,41184.64,healthcare,2215,Merchant_116,False
TXN969325,C101,2024-08-26,17291.29,forex,3981,Merchant_197,True
TXN971776,C101,2024-03-07,25192.9,healthcare,3034,Merchant_133,False
TXN843788,C101,2024-03-19,8316.39,entertainment,4694,Merchant_89,False
TXN765905,C101,2024-09-22,42312.09,entertainment,5496,Merchant_33,False
TXN772124,C101,2024-11-16,30759.97,entertainment,3762,Merchant_152,False
TXN734534,C101,2024-10-24,8642.91,dining,6531,Merchant_145,False
TXN908475,C101,2024-01-22,4153.02,groceries,5336,Merchant_167,False
TXN622230,C101,2024-04-17,20887.68,emi,9938,Merchant_75,False
TXN818264,C101,2024-11-24,24198.95,entertainment,7653,Merchant_77,False
TXN535810,C101,2024-08-20,34461.82,travel,8933,Merchant_119,False
TXN853258,C101,2024-04-14,30372.35,fuel,6231,Merchant_188,False
TXN688933,C101,2024-06-25,6625.23,healthcare,2739,Merchant_82,False
TXN247720,C101,2024-05-03,6213.84,shopping,2586,Merchant_13,False
TXN267457,C101,2024-05-28,43221.78,healthcare,6364,Merchant_148,False
TXN639728,C101,2024-06-09,38179.76,utilities,8648,Merchant_128,False
TXN629996,C101,2024-06-06,1256.5,shopping,8491,Merchant_62,False
TXN618934,C101,2024-04-20,17709.46,emi,8710,Merchant_74,False
TXN377319,C101,2024-10-01,42373.9,groceries,6992,Merchant_196,False
TXN480133,C102,2024-01-24,2652.77,healthcare,5728,Merchant_19,False
TXN676566,C102,2024-07-16,22572.68,forex,5582,Merchant_160,True
TXN513037,C102,2024-12-14,6028.67,emi,7114,Merchant_87,False
TXN633853,C102,2024-10-12,37772.76,fuel,7576,Merchant_129,False
TXN943019,C102,2024-01-21,2041.81,groceries,8761,Merchant_133,False
TXN443897,C102,2024-08-21,30352.4,dining,6218,Merchant_42,False
TXN452713,C102,2024-07-20,36992.04,emi,9311,Merchant_131,False
TXN955374,C102,2024-09-29,35466.12,shopping,1272,Merchant_95,False
TXN935457,C102,2024-06-18,48996.91,travel,1436,Merchant_153,False
TXN913864,C102,2024-08-30,48356.83,entertainment,4728,Merchant_185,False
TXN856215,C102,2024-01-27,24074.39,emi,7229,Merchant_38,False
TXN215233,C102,2024-12-14,1675.37,utilities,4125,Merchant_5,False
TXN313795,C102,2024-08-13,20997.14,fuel,7723,Merchant_129,False
TXN165306,C102,2024-11-09,43653.6,shopping,3262,Merchant_133,False
TXN794395,C102,2024-04-16,16319.97,forex,8837,Merchant_135,True
TXN659024,C102,2024-07-11,47838.61,fuel,6608,Merchant_140,False
TXN358494,C102,2024-06-30,30542.82,entertainment,5571,Merchant_143,False
TXN908634,C102,2024-06-01,47080.13,utilities,5735,Merchant_181,False
TXN934042,C102,2024-04-16,15920.33,shopping,5480,Merchant_74,False
TXN513697,C102,2024-03-03,33863.45,emi,6654,Merchant_198,False
TXN182868,C102,2024-03-15,2199.12,entertainment,6674,Merchant_114,False
TXN968170,C102,2024-12-01,37392.19,entertainment,9824,Merchant_70,False
TXN715336,C102,2024-10-14,6949.92,entertainment,4920,Merchant_63,False
TXN344146,C102,2024-01-26,11361.02,forex,1860,Merchant_26,True
TXN908206,C102,2024-07-30,35896.17,fuel,3252,Merchant_2,False
TXN598807,C102,2024-10-08,20404.68,dining,8822,Merchant_167,False
TXN906066,C102,2024-04-12,16126.27,entertainment,2465,Merchant_167,False
TXN139110,C102,2024-10-20,26804.1,utilities,3868,Merchant_107,False
TXN619447,C102,2024-03-31,49858.87,groceries,4052,Merchant_192,False
TXN212512,C102,2024-05-28,562.43,groceries,6489,Merchant_73,False
TXN240718,C102,2024-08-20,26263.49,forex,9261,Merchant_120,True
TXN866634,C102,2024-05-19,40459.81,utilities,8518,Merchant_166,False
TXN409355,C102,2024-05-11,802.8,dining,4164,Merchant_45,False
TXN190951,C102,2024-11-08,41366.79,healthcare,7567,Merchant_172,False
TXN360096,C102,2024-02-18,49086.09,dining,1111,Merchant_67,False
TXN445637,C102,2024-07-15,22392.1,utilities,5947,Merchant_150,False
TXN347781,C102,2024-10-20,13151.5,groceries,2017,Merchant_171,False
TXN626930,C102,2024-03-01,15409.64,shopping,6095,Merchant_177,False
TXN240057,C102,2024-03-01,18440.44,entertainment,8834,Merchant_40,False
TXN593699,C102,2024-08-20,18743.88,emi,9806,Merchant_171,False
TXN925618,C102,2024-04-21,34049.06,utilities,2341,Merchant_135,False
TXN181896,C102,2024-08-16,35217.93,forex,2838,Merchant_16,True
TXN662728,C102,2024-10-07,10187.62,forex,3455,Merchant_43,True
TXN813341,C102,2024-06-16,22147.84,forex,4365,Merchant_184,True
TXN947975,C102,2024-10-25,4637.99,shopping,1911,Merchant_117,False
TXN691303,C102,2024-03-08,20829.69,forex,1945,Merchant_144,True
TXN956113,C102,2024-08-24,36191.68,entertainment,1049,Merchant_191,False
TXN834406,C102,2024-04-21,3744.17,emi,2044,Merchant_139,False
TXN401036,C102,2024-01-31,49308.25,travel,7698,Merchant_47,False
TXN570325,C102,2024-03-10,18785.6,healthcare,7184,Merchant_97,False
TXN464663,C102,2024-02-11,6736.19,forex,2943,Merchant_46,True
TXN333507,C102,2024-10-02,26489.24,healthcare,1056,Merchant_194,False
TXN544730,C102,2024-01-12,23203.89,entertainment,9715,Merchant_98,False
TXN297636,C102,2024-04-27,23085.2,utilities,2848,Merchant_9,False
TXN116405,C102,2024-12-04,30784.67,healthcare,4943,Merchant_53,False
TXN804667,C102,2024-02-04,29737.81,travel,1797,Merchant_63,False
TXN891030,C102,2024-01-23,22004.24,healthcare,1924,Merchant_36,False
TXN704095,C102,2024-09-14,11784.66,entertainment,6224,Merchant_148,False
TXN792282,C102,2024-11-02,11921.51,fuel,9540,Merchant_57,False
TXN720407,C102,2024-07-30,13830.18,entertainment,3869,Merchant_161,False
TXN461145,C102,2024-12-13,27836.95,healthcare,7244,Merchant_135,True
TXN292811,C102,2024-06-12,20472.13,healthcare,9813,Merchant_122,False
TXN944917,C102,2024-05-03,15106.75,utilities,8586,Merchant_15,False
TXN240606,C102,2024-10-14,48392.53,healthcare,7363,Merchant_63,False
TXN571635,C102,2024-05-10,16580.12,utilities,7079,Merchant_24,False
TXN734356,C102,2024-10-01,2671.68,utilities,1647,Merchant_19,False
TXN602681,C102,2024-04-06,36242.83,emi,4422,Merchant_86,False
TXN877493,C102,2024-06-04,10669.21,groceries,2922,Merchant_192,False
TXN515898,C102,2024-09-02,34811.75,utilities,4921,Merchant_142,False
TXN476710,C102,2024-06-13,19095.02,entertainment,6053,Merchant_67,False
TXN588640,C102,2024-07-03,44152.32,forex,2615,Merchant_185,True
TXN534037,C102,2024-08-28,45725.09,fuel,1749,Merchant_145,False
TXN712401,C102,2024-04-23,909.37,dining,7841,Merchant_76,False
